datetime,ciudad,temperature_2m_mean,precipitation_sum,wind_speed_10m_max
2020-12-01,London,5.79,84.9,49.9
2010-01-01,Madrid,4.4,52.0,30.2
2010-02-01,Madrid,5.06,70.8,39.3
2010-03-01,Madrid,7.4,54.1,29.1
2010-04-01,Madrid,12.27,67.0,18.2
2010-05-01,Madrid,14.93,20.6,34.7
2010-06-01,Madrid,20.44,42.7,25.0
2010-07-01,Madrid,27.43,4.4,18.3
2010-08-01,Madrid,25.83,2.3,22.7
2010-09-01,Madrid,20.47,21.0,25.8
2010-10-01,Madrid,13.26,44.3,32.6
2010-11-01,Madrid,7.29,30.4,29.0
2010-12-01,Madrid,5.07,82.6,27.9
2011-01-01,Madrid,4.53,38.0,25.7
2011-02-01,Madrid,6.41,28.6,28.0
2011-03-01,Madrid,8.02,84.5,22.6
2011-04-01,Madrid,14.92,61.7,17.1
2011-05-01,Madrid,17.51,54.2,19.4
2011-06-01,Madrid,22.01,14.1,21.9
2011-07-01,Madrid,24.57,0.4,24.7
2011-08-01,Madrid,25.36,6.2,20.4
2011-09-01,Madrid,21.99,4.2,17.9
2011-10-01,Madrid,16.4,45.5,22.3
2011-11-01,Madrid,9.87,84.7,26.9
2011-12-01,Madrid,5.1,7.0,27.7
2012-01-01,Madrid,4.32,4.1,20.9
2012-02-01,Madrid,3.8,3.7,30.9
2012-03-01,Madrid,10.43,7.6,21.7
2012-04-01,Madrid,10.24,48.6,30.6
2012-05-01,Madrid,18.29,12.8,22.2
2012-06-01,Madrid,23.84,2.1,25.5
2012-07-01,Madrid,25.72,2.3,24.7
2012-08-01,Madrid,26.43,1.5,27.1
2012-09-01,Madrid,20.83,57.1,30.9
2012-10-01,Madrid,13.96,56.8,20.4
2012-11-01,Madrid,8.83,94.7,24.6
2012-12-01,Madrid,5.55,12.0,27.6
2013-01-01,Madrid,4.99,37.9,30.5
2013-02-01,Madrid,5.04,33.0,28.5
2013-03-01,Madrid,7.57,101.7,28.6
2013-04-01,Madrid,11.09,49.7,28.8
2013-05-01,Madrid,13.46,35.6,22.5
2013-06-01,Madrid,20.45,4.5,24.2
2013-07-01,Madrid,26.73,2.5,21.4
2013-08-01,Madrid,26.11,0.6,22.9
2013-09-01,Madrid,21.95,17.0,21.5
2013-10-01,Madrid,15.24,59.8,19.2
2013-11-01,Madrid,7.84,18.4,24.2
2013-12-01,Madrid,4.12,46.1,33.4
2014-01-01,Madrid,6.2,74.3,34.4
2014-02-01,Madrid,5.81,60.6,30.0
2014-03-01,Madrid,9.51,22.3,31.6
2014-04-01,Madrid,14.4,39.9,29.6
2014-05-01,Madrid,17.45,14.1,28.6
2014-06-01,Madrid,21.79,10.8,26.4
2014-07-01,Madrid,24.16,13.8,26.5
2014-08-01,Madrid,25.19,1.8,20.6
2014-09-01,Madrid,20.92,15.7,26.0
2014-10-01,Madrid,16.21,79.9,22.8
2014-11-01,Madrid,9.89,75.8,26.7
2014-12-01,Madrid,5.31,38.6,21.2
2015-01-01,Madrid,3.72,28.3,29.4
2015-02-01,Madrid,5.0,15.8,29.4
2015-03-01,Madrid,9.81,46.4,30.3
2015-04-01,Madrid,13.37,19.1,24.6
2015-05-01,Madrid,19.43,3.7,29.6
2015-06-01,Madrid,23.46,22.1,22.7
2015-07-01,Madrid,28.99,7.7,22.3
2015-08-01,Madrid,25.35,7.6,24.3
2015-09-01,Madrid,19.59,8.8,33.4
2015-10-01,Madrid,14.78,42.6,27.9
2015-11-01,Madrid,10.51,39.0,23.9
2015-12-01,Madrid,7.69,3.9,16.9
2016-01-01,Madrid,7.0,47.2,31.9
2016-02-01,Madrid,6.67,28.8,31.1
2016-03-01,Madrid,7.69,32.8,25.9
2016-04-01,Madrid,10.55,80.0,26.8
2016-05-01,Madrid,14.74,66.1,25.2
2016-06-01,Madrid,22.89,3.4,27.3
2016-07-01,Madrid,27.58,4.3,25.0
2016-08-01,Madrid,26.94,0.0,22.5
2016-09-01,Madrid,22.46,9.4,23.5
2016-10-01,Madrid,16.22,76.3,23.7
2016-11-01,Madrid,8.61,102.3,24.1
2016-12-01,Madrid,6.64,47.2,25.5
2017-01-01,Madrid,4.15,22.5,27.1
2017-02-01,Madrid,7.63,40.2,38.8
2017-03-01,Madrid,10.88,29.7,38.0
2017-04-01,Madrid,15.23,34.1,34.1
2017-05-01,Madrid,18.98,50.6,32.5
2017-06-01,Madrid,25.86,17.0,36.9
2017-07-01,Madrid,26.33,37.8,29.1
2017-08-01,Madrid,26.18,49.8,33.5
2017-09-01,Madrid,20.82,2.5,29.5
2017-10-01,Madrid,17.71,26.7,23.1
2017-11-01,Madrid,8.81,19.1,24.8
2017-12-01,Madrid,5.37,26.8,39.7
2018-01-01,Madrid,5.68,57.6,29.4
2018-02-01,Madrid,4.99,52.5,31.4
2018-03-01,Madrid,7.57,113.6,41.0
2018-04-01,Madrid,12.02,65.9,35.6
2018-05-01,Madrid,16.2,45.5,29.1
2018-06-01,Madrid,21.33,19.9,23.6
2018-07-01,Madrid,25.4,2.4,26.6
2018-08-01,Madrid,26.86,0.6,29.1
2018-09-01,Madrid,23.29,15.3,22.4
2018-10-01,Madrid,14.33,89.0,26.9
2018-11-01,Madrid,9.1,63.1,34.9
2018-12-01,Madrid,6.03,12.9,27.4
2019-01-01,Madrid,4.32,14.7,37.1
2019-02-01,Madrid,7.88,8.2,38.3
2019-03-01,Madrid,11.48,11.0,37.8
2019-04-01,Madrid,11.32,87.5,36.9
2019-05-01,Madrid,18.02,3.2,39.2
2019-06-01,Madrid,23.38,0.7,30.3
2019-07-01,Madrid,27.69,0.4,27.8
2019-08-01,Madrid,25.69,12.6,28.8
2019-09-01,Madrid,20.12,73.3,31.3
2019-10-01,Madrid,15.71,34.1,31.1
2019-11-01,Madrid,9.11,39.9,34.8
2019-12-01,Madrid,7.42,87.5,45.3
2020-01-01,Madrid,5.28,29.6,34.7
2020-02-01,Madrid,9.39,2.5,33.4
2020-03-01,Madrid,10.49,69.9,41.4
2020-04-01,Madrid,12.61,107.0,30.9
2020-05-01,Madrid,18.9,40.4,33.9
2020-06-01,Madrid,22.19,16.0,33.2
2020-07-01,Madrid,28.34,1.3,34.3
2020-08-01,Madrid,25.54,22.1,28.2
